,Source,Dest,SourceID,DestID,SourceLon,DestLon,SourceLat,DestLat
9937,SFO,ATL,3469,3682,-122.375,-84.428101,37.61899948120117,33.6367
10003,TPE,AMS,2276,580,121.233002,4.76389,25.0777,52.308601
10034,YYZ,ATL,193,3682,-79.63059997559999,-84.428101,43.6772003174,33.6367
10297,BKK,SIN,3885,3316,100.74700164794922,103.994003,13.681099891662598,1.35019
10420,DEL,ICN,3093,3930,77.103104,126.45099639892578,28.5665,37.46910095214844
10422,DEL,IST,3093,1701,77.103104,28.8146,28.5665,40.976898
10446,DEL,MUC,3093,346,77.103104,11.7861,28.5665,48.353802
10459,DEL,VIE,3093,1613,77.103104,16.569700241089002,28.5665,48.110298156738004
10462,DEL,ZRH,3093,1678,77.103104,8.54917,28.5665,47.464698999999996
10494,HKG,SFO,3077,3469,113.915001,-122.375,22.308901000000002,37.61899948120117
10495,HKG,SIN,3077,3316,113.915001,103.994003,22.308901000000002,1.35019
10509,ICN,DEL,3930,3093,126.45099639892578,77.103104,37.46910095214844,28.5665
10511,ICN,SFO,3930,3469,126.45099639892578,-122.375,37.46910095214844,37.61899948120117
10512,ICN,SIN,3930,3316,126.45099639892578,103.994003,37.46910095214844,1.35019
10520,IST,DEL,1701,3093,28.8146,77.103104,40.976898,28.5665
10554,JFK,LHR,3797,507,-73.77890015,-0.461941,40.63980103,51.4706
10564,KUL,SIN,3304,3316,101.70999908446998,103.994003,2.7455799579619997,1.35019
10568,LAX,NRT,3484,2279,-118.40799709999999,140.386001587,33.94250107,35.764701843299996
10571,LHR,JFK,507,3797,-0.461941,-73.77890015,51.4706,40.63980103
10603,MUC,DEL,346,3093,11.7861,77.103104,48.353802,28.5665
10607,NRT,LAX,2279,3484,140.386001587,-118.40799709999999,35.764701843299996,33.94250107
10608,NRT,SIN,2279,3316,140.386001587,103.994003,35.764701843299996,1.35019
10623,SFO,HKG,3469,3077,-122.375,113.915001,37.61899948120117,22.308901000000002
10624,SFO,ICN,3469,3930,-122.375,126.45099639892578,37.61899948120117,37.46910095214844
10631,SIN,BKK,3316,3885,103.994003,100.74700164794922,1.35019,13.681099891662598
10634,SIN,HKG,3316,3077,103.994003,113.915001,1.35019,22.308901000000002
10635,SIN,ICN,3316,3930,103.994003,126.45099639892578,1.35019,37.46910095214844
10636,SIN,KUL,3316,3304,103.994003,101.70999908446998,1.35019,2.7455799579619997
10638,SIN,NRT,3316,2279,103.994003,140.386001587,1.35019,35.764701843299996
10656,VIE,DEL,1613,3093,16.569700241089002,77.103104,48.110298156738004,28.5665
10665,ZRH,DEL,1678,3093,8.54917,77.103104,47.464698999999996,28.5665
10859,ATL,CDG,3682,1382,-84.428101,2.55,33.6367,49.012798
10866,ATL,DEN,3682,3751,-84.428101,-104.672996521,33.6367,39.861698150635
10868,ATL,EWR,3682,3494,-84.428101,-74.168701171875,33.6367,40.69250106811523
10869,ATL,FCO,3682,1555,-84.428101,12.238888900000001,33.6367,41.800277799999996
10874,ATL,JFK,3682,3797,-84.428101,-73.77890015,33.6367,40.63980103
10876,ATL,MAD,3682,1229,-84.428101,-3.56264,33.6367,40.471926
10880,ATL,MEX,3682,1824,-84.428101,-99.072098,33.6367,19.4363
10881,ATL,MIA,3682,3576,-84.428101,-80.29060363769531,33.6367,25.79319953918457
10885,ATL,PHL,3682,3752,-84.428101,-75.24109649658203,33.6367,39.87189865112305
10907,CDG,ATL,1382,3682,2.55,-84.428101,49.012798,33.6367
10955,DEN,ATL,3751,3682,-104.672996521,-84.428101,39.861698150635,33.6367
10956,DFW,MEX,3670,1824,-97.038002,-99.072098,32.896801,19.4363
10963,EWR,ATL,3494,3682,-74.168701171875,-84.428101,40.69250106811523,33.6367
10966,FCO,ATL,1555,3682,12.238888900000001,-84.428101,41.800277799999996,33.6367
11013,JFK,ATL,3797,3682,-73.77890015,-84.428101,40.63980103,33.6367
11041,MAD,ATL,1229,3682,-3.56264,-84.428101,40.471926,33.6367
11053,MEX,ATL,1824,3682,-99.072098,-84.428101,19.4363,33.6367
11067,MEX,DFW,1824,3670,-99.072098,-97.038002,19.4363,32.896801
11129,MIA,ATL,3576,3682,-80.29060363769531,-84.428101,25.79319953918457,33.6367
11179,PHL,ATL,3752,3682,-75.24109649658203,-84.428101,39.87189865112305,33.6367
11211,SFO,ATL,3469,3682,-122.375,-84.428101,37.61899948120117,33.6367
11558,ATL,CLT,3682,3876,-84.428101,-80.94309997558594,33.6367,35.2140007019043
11563,ATL,LAX,3682,3484,-84.428101,-118.40799709999999,33.6367,33.94250107
11565,ATL,MIA,3682,3576,-84.428101,-80.29060363769531,33.6367,25.79319953918457
11614,CLT,ATL,3876,3682,-80.94309997558594,-84.428101,35.2140007019043,33.6367
11620,DEN,LAX,3751,3484,-104.672996521,-118.40799709999999,39.861698150635,33.94250107
11622,DFW,LAX,3670,3484,-97.038002,-118.40799709999999,32.896801,33.94250107
11626,DFW,SFO,3670,3469,-97.038002,-122.375,32.896801,37.61899948120117
11665,IAH,LAX,3550,3484,-95.34140014648438,-118.40799709999999,29.98439979553223,33.94250107
11671,JFK,LAX,3797,3484,-73.77890015,-118.40799709999999,40.63980103,33.94250107
11674,JFK,SFO,3797,3469,-73.77890015,-122.375,40.63980103,37.61899948120117
11696,LAX,ATL,3484,3682,-118.40799709999999,-84.428101,33.94250107,33.6367
11703,LAX,DEN,3484,3751,-118.40799709999999,-104.672996521,33.94250107,39.861698150635
11704,LAX,DFW,3484,3670,-118.40799709999999,-97.038002,33.94250107,32.896801
11709,LAX,IAH,3484,3550,-118.40799709999999,-95.34140014648438,33.94250107,29.98439979553223
11711,LAX,JFK,3484,3797,-118.40799709999999,-73.77890015,33.94250107,40.63980103
11718,LAX,MIA,3484,3576,-118.40799709999999,-80.29060363769531,33.94250107,25.79319953918457
11725,LAX,ORD,3484,3830,-118.40799709999999,-87.9048,33.94250107,41.9786
11727,LAX,PHX,3484,3462,-118.40799709999999,-112.01200103759766,33.94250107,33.43429946899414
11735,LAX,SFO,3484,3469,-118.40799709999999,-122.375,33.94250107,37.61899948120117
11766,MIA,ATL,3576,3682,-80.29060363769531,-84.428101,25.79319953918457,33.6367
11767,MIA,LAX,3576,3484,-80.29060363769531,-118.40799709999999,25.79319953918457,33.94250107
11768,MIA,SFO,3576,3469,-80.29060363769531,-122.375,25.79319953918457,37.61899948120117
11801,ORD,LAX,3830,3484,-87.9048,-118.40799709999999,41.9786,33.94250107
11806,ORD,SFO,3830,3469,-87.9048,-122.375,41.9786,37.61899948120117
11852,PHX,LAX,3462,3484,-112.01200103759766,-118.40799709999999,33.43429946899414,33.94250107
11978,SFO,DFW,3469,3670,-122.375,-97.038002,37.61899948120117,32.896801
11979,SFO,JFK,3469,3797,-122.375,-73.77890015,37.61899948120117,40.63980103
11980,SFO,LAX,3469,3484,-122.375,-118.40799709999999,37.61899948120117,33.94250107
11981,SFO,MIA,3469,3576,-122.375,-80.29060363769531,37.61899948120117,25.79319953918457
11982,SFO,ORD,3469,3830,-122.375,-87.9048,37.61899948120117,41.9786
12589,ATL,LHR,3682,507,-84.428101,-0.461941,33.6367,51.4706
12608,CDG,DFW,1382,3670,2.55,-97.038002,49.012798,32.896801
12611,CDG,MIA,1382,3576,2.55,-80.29060363769531,49.012798,25.79319953918457
12612,CDG,ORD,1382,3830,2.55,-87.9048,49.012798,41.9786
12627,DFW,CDG,3670,1382,-97.038002,2.55,32.896801,49.012798
12628,DFW,FRA,3670,340,-97.038002,8.570556,32.896801,50.033333
12642,FCO,JFK,1555,3797,12.238888900000001,-73.77890015,41.800277799999996,40.63980103
12646,FRA,DFW,340,3670,8.570556,-97.038002,50.033333,32.896801
12648,FRA,MAD,340,1229,8.570556,-3.56264,50.033333,40.471926
12743,JFK,FCO,3797,1555,-73.77890015,12.238888900000001,40.63980103,41.800277799999996
